type,city,code,scode,name,lon,lat,area
community,CaSanSAN,SanBAL,1,Balboa Park,-117.1459614,32.73112524,56600460.03
community,CaSanSAN,SanBAR,2,Barrio Logan,-117.1374365,32.69451462,24031887.68
community,CaSanSAN,SanBLA,13,Black Mountain Ranch,-117.1404757,32.99832294,221749363
community,CaSanSAN,SanCAR,21,Carmel Valley,-117.2203417,32.94432562,197127574.4
community,CaSanSAN,SanCLA,6,Clairemont Mesa,-117.1948316,32.81637373,371966426.8
community,CaSanSAN,SanCOL,38,College Area,-117.0734912,32.77130649,85758394.6
community,CaSanSAN,SanCRM,3,Carmel Mountain Ranch,-117.0773157,32.97742592,66331835.36
community,CaSanSAN,SanDEL,51,Del Mar Mesa,-117.1799504,32.94204836,91192878.7
community,CaSanSAN,SanDOW,4,Downtown,-117.1606192,32.71400629,66053186.08
community,CaSanSAN,SanENC,11,"Encanto Neighborhoods,Southeastern",-117.0727614,32.7097346,165991952
community,CaSanSAN,SanEST,7,East Elliott,-117.0297801,32.86136488,127189772.3
community,CaSanSAN,SanFAR,49,Fairbanks Ranch Country Club,-117.2138441,32.97903,34332562.81
community,CaSanSAN,SanGRE,28,Greater North Park,-117.1304264,32.7460262,98170922.83
community,CaSanSAN,SanGRT,8,Greater Golden Hill,-117.1312693,32.71987734,32475068.05
community,CaSanSAN,SanKER,50,Kearny Mesa,-117.1391105,32.82274292,192653343.3
community,CaSanSAN,SanLAJ,10,La Jolla,-117.2547079,32.83932101,249104798
community,CaSanSAN,SanLIN,12,Linda Vista,-117.1773508,32.78225686,119017133.8
community,CaSanSAN,SanLOS,96,Los Penasquitos Canyon,-117.183931,32.92370951,52853679.84
community,CaSanSAN,SanMDC,56,Mid-City:City Heights,-117.1012727,32.74016287,127870482.9
community,CaSanSAN,SanMDS,59,Mid-City:Normal Heights,-117.1185726,32.76479478,36853282.66
community,CaSanSAN,SanMDW,14,Midway-Pacific Highway,-117.2026084,32.74911117,39545450.64
community,CaSanSAN,SanMID,57,Mid-City:Eastern Area,-117.0696278,32.74266318,135693919.1
community,CaSanSAN,SanMII,58,Mid-City:Kensington-Talmadge,-117.0991632,32.7648803,50389791.86
community,CaSanSAN,SanMIL,97,Military Facilities,-117.0891028,32.87116412,1022505877
community,CaSanSAN,SanMIR,15,Mira Mesa,-117.1585988,32.90922805,467349885.6
community,CaSanSAN,SanMIS,17,Mission Bay Park,-117.2284963,32.77527523,187023603
community,CaSanSAN,SanMRM,9,Miramar Ranch North,-117.0960693,32.93042521,82503119.18
community,CaSanSAN,SanMSH,18,Mission Beach,-117.2521393,32.77376102,9583278.727
community,CaSanSAN,SanMSS,19,Mission Valley,-117.1458151,32.77334474,140074694.3
community,CaSanSAN,SanNAV,20,Navajo,-117.0520358,32.80292963,395843282
community,CaSanSAN,SanNCU,61,Ncfua Subarea Ii,-117.2403634,32.97313291,36989689.45
community,CaSanSAN,SanOAT,25,Otay Mesa-Nestor,-117.078111,32.58086423,233822275.6
community,CaSanSAN,SanOCN,23,Ocean Beach,-117.2462194,32.74686123,27941586.68
community,CaSanSAN,SanOLD,24,Old Town San Diego,-117.1959689,32.75521403,11969674.48
community,CaSanSAN,SanOTM,26,Otay Mesa,-116.9910519,32.5650826,405810586.3
community,CaSanSAN,SanPAC,62,Pacific Highlands Ranch,-117.1934397,32.96268596,115162533
community,CaSanSAN,SanPCF,27,Pacific Beach,-117.239086,32.80346594,113649005.9
community,CaSanSAN,SanPEN,30,Peninsula,-117.2361944,32.72065831,230118494.3
community,CaSanSAN,SanRAN,31,Rancho Bernardo,-117.0729542,33.02511521,286762938.1
community,CaSanSAN,SanRAO,16,Rancho Encantada,-117.0134285,32.92911965,117585630.5
community,CaSanSAN,SanRES,98,Reserve,-117.1663941,32.78120227,47646992.64
community,CaSanSAN,SanRNC,29,Rancho Penasquitos,-117.1201818,32.96555754,281238384
community,CaSanSAN,SanSAB,5,Sabre Springs,-117.0877019,32.94830816,69492586.42
community,CaSanSAN,SanSAN,32,San Pasqual,-117.0109624,33.08019817,461510794.2
community,CaSanSAN,SanSCI,34,Scripps Miramar Ranch,-117.0873467,32.90943505,182839273.8
community,CaSanSAN,SanSER,35,Serra Mesa,-117.1407558,32.79485023,96307634.23
community,CaSanSAN,SanSKY,44,Skyline-Paradise Hills,-117.0441636,32.69213308,199707175.5
community,CaSanSAN,SanSNS,33,San Ysidro,-117.0477069,32.55571648,81121356.96
community,CaSanSAN,SanSOT,37,"Southeastern San Diego,Southeastern",-117.1180332,32.702505,127586393.4
community,CaSanSAN,SanTIJ,39,Tijuana River Valley,-117.0881535,32.54808922,156344829.9
community,CaSanSAN,SanTIR,47,Tierrasanta,-117.0815241,32.82850288,315690089.4
community,CaSanSAN,SanTOE,48,Torrey Hills,-117.2253464,32.91887892,36269608.25
community,CaSanSAN,SanTOR,40,Torrey Pines,-117.2428909,32.9326277,118584162.7
community,CaSanSAN,SanTRR,52,Torrey Highlands,-117.1557509,32.96694773,65579900.23
community,CaSanSAN,SanUNV,99,University,-117.2203623,32.8761596,377944307.9
community,CaSanSAN,SanUPT,42,Uptown,-117.1664957,32.74757124,115741719.8
community,CaSanSAN,SanVID,55,Via De La Valle,-117.2432734,32.98331873,5780436.388